actor_id,film_id,last_update,actorid,filmid
3,341,2006-02-15 10:05:03,a94f4be0-73e2-11ec-9c19-4bc960a98651,686d78ae-73e2-11ec-9c19-e3fd36a03df7
3,393,2006-02-15 10:05:03,a94f4be0-73e2-11ec-9c19-4bc960a98651,686ed9d8-73e2-11ec-9c19-93918120a0c2
3,441,2006-02-15 10:05:03,a94f4be0-73e2-11ec-9c19-4bc960a98651,68701b04-73e2-11ec-9c19-cb47cd6e8961
3,453,2006-02-15 10:05:03,a94f4be0-73e2-11ec-9c19-4bc960a98651,68704e9e-73e2-11ec-9c19-c3dacd19a413
3,480,2006-02-15 10:05:03,a94f4be0-73e2-11ec-9c19-4bc960a98651,68712972-73e2-11ec-9c19-734f21f58f48
3,539,2006-02-15 10:05:03,a94f4be0-73e2-11ec-9c19-4bc960a98651,6872b5e4-73e2-11ec-9c19-b79c3b668a9d
3,618,2006-02-15 10:05:03,a94f4be0-73e2-11ec-9c19-4bc960a98651,6874c4d8-73e2-11ec-9c19-233e218b5b24
3,685,2006-02-15 10:05:03,a94f4be0-73e2-11ec-9c19-4bc960a98651,687646d2-73e2-11ec-9c19-0f54a46a587c
3,827,2006-02-15 10:05:03,a94f4be0-73e2-11ec-9c19-4bc960a98651,6879dbee-73e2-11ec-9c19-bf4c0050899c
3,966,2006-02-15 10:05:03,a94f4be0-73e2-11ec-9c19-4bc960a98651,687e6560-73e2-11ec-9c19-8b6eb70ec094
3,967,2006-02-15 10:05:03,a94f4be0-73e2-11ec-9c19-4bc960a98651,687e6e5c-73e2-11ec-9c19-e3c7728813cf
3,971,2006-02-15 10:05:03,a94f4be0-73e2-11ec-9c19-4bc960a98651,687ec0be-73e2-11ec-9c19-e3ed06f9d66f
3,996,2006-02-15 10:05:03,a94f4be0-73e2-11ec-9c19-4bc960a98651,687f9bc4-73e2-11ec-9c19-c3ce5b5779b5
4,23,2006-02-15 10:05:03,a94f4f00-73e2-11ec-9c19-e35dd2b49fa9,6865675e-73e2-11ec-9c19-17db8509908c
4,25,2006-02-15 10:05:03,a94f4f00-73e2-11ec-9c19-e35dd2b49fa9,6865769a-73e2-11ec-9c19-77068d3c7f1c
4,56,2006-02-15 10:05:03,a94f4f00-73e2-11ec-9c19-e35dd2b49fa9,686653a8-73e2-11ec-9c19-7f8daeb86f37
4,62,2006-02-15 10:05:03,a94f4f00-73e2-11ec-9c19-e35dd2b49fa9,68667c2a-73e2-11ec-9c19-732a6a633b88
4,79,2006-02-15 10:05:03,a94f4f00-73e2-11ec-9c19-e35dd2b49fa9,6866ee3a-73e2-11ec-9c19-670a4f846059
4,87,2006-02-15 10:05:03,a94f4f00-73e2-11ec-9c19-e35dd2b49fa9,68671d1a-73e2-11ec-9c19-bfd950a27d00
4,355,2006-02-15 10:05:03,a94f4f00-73e2-11ec-9c19-e35dd2b49fa9,686dcb7e-73e2-11ec-9c19-3fd30a0c76cb
4,379,2006-02-15 10:05:03,a94f4f00-73e2-11ec-9c19-e35dd2b49fa9,686e5ca6-73e2-11ec-9c19-ff1aae0fb434
4,398,2006-02-15 10:05:03,a94f4f00-73e2-11ec-9c19-e35dd2b49fa9,686f0a84-73e2-11ec-9c19-c313940066f8
4,463,2006-02-15 10:05:03,a94f4f00-73e2-11ec-9c19-e35dd2b49fa9,687088dc-73e2-11ec-9c19-b799298db6b1
